DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Maharagama,Pathiragoda,527A,6546,3167,3379,6.8587386,79.9206694
Maharagama,Maharagama East,527B,3695,1704,1991,6.85821,79.9269656
Maharagama,Maharagama West,527C,2464,1242,1222,6.8515684,79.9255665
Maharagama,Dambahena,528A,5233,2485,2748,6.8510984,79.9346603
Maharagama,Pannipitiya North,531,4060,1943,2117,6.8453976,79.9465508
Maharagama,Kottawa West,496D,2766,1345,1421,6.8515684,79.9570411
Maharagama,Kottawa South,496,7159,3450,3709,6.8490994,79.9654324
Maharagama,Malapalla West,498B,2692,1304,1388,6.8466887,79.9766195
Maharagama,Malapalla East,498,3648,1790,1858,6.8468057,79.9822126
Maharagama,Makumbura North,498A,3458,1680,1778,6.8387546,79.9766195
Maharagama,Makumbura South,498C,1596,768,828,6.8367566,79.9759204
